date,max_temp,min_temp,avg_temp
2026-05-07,14.8,8.7,11.75
2026-05-08,17.9,8.4,13.149999999999999
2026-05-09,20.2,9.8,15.0
2026-05-10,13.7,7.9,10.8
2026-05-11,12.0,5.2,8.6
2026-05-12,16.5,4.9,10.7
2026-05-13,12.0,7.5,9.75
2026-05-14,12.2,7.3,9.75
2026-05-15,14.1,6.8,10.45
2026-05-16,14.9,6.9,10.9
2026-05-17,16.7,9.6,13.149999999999999
2026-05-18,14.2,8.5,11.35
2026-05-19,17.2,11.2,14.2
2026-05-20,19.6,12.8,16.200000000000003
2026-05-21,23.6,12.8,18.200000000000003
2026-05-22,27.8,16.1,21.950000000000003
2026-05-23,29.7,20.3,25.0
2026-05-24,31.2,16.6,23.9
2026-05-25,33.9,19.8,26.85
2026-05-26,34.6,21.3,27.950000000000003
2026-05-27,25.6,16.5,21.05
2026-05-28,31.1,15.7,23.4
2026-05-29,25.7,18.9,22.299999999999997
2026-05-30,28.7,17.9,23.299999999999997
2026-05-31,23.0,16.3,19.65
2026-06-01,23.1,14.2,18.65
2026-06-02,19.8,14.5,17.15
2026-06-03,18.6,13.1,15.850000000000001
2026-06-04,18.7,13.9,16.3
2026-06-05,18.5,12.4,15.45
2026-06-06,15.4,13.0,14.2
2026-06-07,19.2,11.4,15.3
2026-06-08,16.4,12.4,14.399999999999999
2026-06-09,18.8,9.8,14.3
2026-06-10,17.2,10.3,13.75
2026-06-11,16.4,10.2,13.299999999999999
2026-06-12,22.1,15.2,18.65
2026-06-13,21.5,13.1,17.3
2026-06-14,21.1,12.9,17.0
2026-06-15,22.6,14.0,18.3
2026-06-16,26.5,16.0,21.25
2026-06-17,24.9,17.6,21.25
2026-06-18,25.6,17.4,21.5
2026-06-19,30.2,18.5,24.35
2026-06-20,25.6,18.1,21.85
2026-06-21,29.6,20.5,25.05
2026-06-22,28.0,17.9,22.95
2026-06-23,34.1,19.0,26.55
2026-06-24,35.9,23.8,29.85
2026-06-25,31.1,21.8,26.450000000000003
2026-06-26,35.9,23.6,29.75
2026-06-27,32.0,22.3,27.15
2026-06-28,25.8,18.6,22.200000000000003
2026-06-29,23.9,14.5,19.2
2026-06-30,24.5,18.0,21.25
2026-07-01,26.1,17.0,21.55
2026-07-02,26.0,16.9,21.45
2026-07-03,27.1,14.2,20.65
2026-07-04,28.2,16.2,22.2
2026-07-05,28.8,17.3,23.05
2026-07-06,31.9,18.8,25.35
2026-07-07,30.9,20.2,25.549999999999997
